,ONTOLOGY,ONT_DESCRIPTION,FDR,EA_VALUE,sample,GROUP,GROUP_1,GROUP_2,KEGG_up_DOWN,interaction_entry,interaction_name,reaction_entry,reaction_name
0,ec00511,Other glycan degradation,0.0,2.47101554341659,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
1,ec00901,Indole alkaloid biosynthesis,0.0,60.8849325337331,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
2,ec00600,Sphingolipid metabolism,0.0,3.42581110492484,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
3,ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,3.2265242980712,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
4,ec00531,Glycosaminoglycan degradation,3.10196313080269e-14,2.41878343532888,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
5,ec00604,Glycosphingolipid biosynthesis - ganglio series,7.04991620636974e-14,2.43028092046414,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
6,ec00140,Steroid hormone biosynthesis,2.86025171801287e-13,6.13392977018953,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
7,ec00052,Galactose metabolism,1.3581663571571299e-11,1.716108115059,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
8,ec00561,Glycerolipid metabolism,5.15162054882791e-06,1.85908190942697,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
9,ec00940,Phenylpropanoid biosynthesis,9.5508568098035e-06,2.81007380924922,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
10,ec00513,Various types of N-glycan biosynthesis,0.0001949073966669,2.26618855584615,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
11,ec00520,Amino sugar and nucleotide sugar metabolism,0.0006397805133289,1.29478343172627,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,UP,2,Genetic Information Processing,2.2,Translation
12,ec00511,Other glycan degradation,0.0,2.47101554341659,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
13,ec00901,Indole alkaloid biosynthesis,0.0,60.8849325337331,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
14,ec00600,Sphingolipid metabolism,0.0,3.42581110492484,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
